county,lat,lon
Anderson,31.8154,-95.6549
Andrews,32.3052,-102.5431
Angelina,31.2535,-94.6113
Aransas,28.1084,-96.9926
Archer,33.6157,-98.6877
Armstrong,34.9659,-101.3568
Atascosa,28.8943,-98.5294
Austin,29.8890,-96.2788
Bailey,34.0682,-102.8296
Bandera,29.7265,-99.2452
Bastrop,30.1035,-97.3123
Baylor,33.6167,-99.2143
Bee,28.4184,-97.7468
Bell,31.0375,-97.4784
Bexar,29.4489,-98.5200
Blanco,30.2607,-98.3756
Borden,32.7426,-101.4302
Bosque,31.9033,-97.6406
Bowie,33.4453,-94.1711
Brazoria,29.1699,-95.4344
Brazos,30.6606,-96.3021
Brewster,29.8060,-103.2518
Briscoe,34.5296,-100.7119
Brooks,27.0329,-98.2281
Brown,31.7759,-99.0012
Burleson,30.4930,-96.6193
Burnet,30.7880,-98.2312
Caldwell,29.8371,-97.6243
Calhoun,28.4433,-96.6296
Callahan,32.2988,-99.3652
Cameron,26.1506,-97.5235
Camp,33.0000,-94.9752
Carson,35.4032,-101.3541
Cass,33.0766,-94.3393
Castro,34.5296,-102.2591
Chambers,29.7043,-94.6680
Cherokee,31.8358,-95.1765
Childress,34.5296,-100.2065
Clay,33.7843,-98.2117
Cochran,33.5998,-102.8273
Coke,31.8879,-100.5308
Coleman,31.7928,-99.4560
Collin,33.1820,-96.5717
Collingsworth,34.9659,-100.2691
Colorado,29.6217,-96.5218
Comal,29.7959,-98.2459
Comanche,31.9462,-98.5823
Concho,31.3228,-99.8706
Cooke,33.6353,-97.2118
Corpus Christi,27.8006,-97.3964
Coryell,31.3983,-97.7994
Cottle,34.0797,-100.2745
Crane,31.4311,-102.3532
Crockett,30.7279,-101.4094
Crosby,33.6101,-101.2980
Culberson,31.4391,-104.5180
Dallam,36.2778,-102.6013
Dallas,32.7668,-96.7836
Dawson,32.7437,-101.9473
Deaf Smith,34.9659,-102.6017
Delta,33.3813,-95.6741
Denton,33.1901,-97.1333
DeWitt,29.0884,-97.3594
Dickens,33.6101,-100.7805
Dimmit,28.4315,-99.7521
Donley,34.9659,-100.8140
Duval,27.6835,-98.5100
Eastland,32.3016,-98.8262
Ector,31.8688,-102.5312
Edwards,29.9861,-100.3046
El Paso,31.7619,-106.4850
Ellis,32.3485,-96.7995
Erath,32.2372,-98.2165
Falls,31.2594,-96.9235
Fannin,33.5921,-96.1080
Fayette,29.8795,-96.9210
Fisher,32.7437,-100.4016
Floyd,33.9683,-101.3074
Foard,33.9816,-99.7754
Fort Bend,29.5282,-95.7726
Franklin,33.1757,-95.2159
Freestone,31.7053,-96.1497
Frio,28.8673,-99.1073
Gaines,32.7357,-102.6375
Galveston,29.2822,-94.8551
Garza,33.1775,-101.2980
Gillespie,30.3162,-98.9497
Glasscock,31.8688,-101.5226
Goliad,28.6617,-97.3892
Gonzales,29.4557,-97.5062
Gray,35.4025,-100.8166
Grayson,33.6307,-96.6780
Gregg,32.4793,-94.8153
Grimes,30.5296,-95.9807
Guadalupe,29.5750,-97.9389
Hale,34.0682,-101.8216
Hall,34.5296,-100.6851
Hamilton,31.7053,-98.1165
Hansford,36.2778,-101.3541
Hardeman,34.2886,-99.7471
Hardin,30.3364,-94.3774
Harris,29.8469,-95.4033
Harrison,32.5538,-94.3686
Hartley,35.8390,-102.6013
Haskell,33.1667,-99.7237
Hays,29.9924,-98.0282
Hemphill,35.8390,-100.2691
Henderson,32.2150,-95.8668
Hidalgo,26.3955,-98.1832
Hill,31.9851,-97.1338
Hockley,33.5998,-102.3384
Hood,32.4318,-97.8337
Hopkins,33.1421,-95.5688
Houston,31.3226,-95.4174
Howard,32.3052,-101.4420
Hudspeth,31.4563,-105.3741
Hunt,33.1243,-96.0836
Hutchinson,35.8390,-101.3541
Irion,31.3024,-100.9823
Jack,33.2287,-98.1689
Jackson,28.9632,-96.5760
Jasper,30.7451,-93.9980
Jeff Davis,30.7186,-104.1249
Jefferson,29.8391,-94.1453
Jim Hogg,27.0564,-98.7065
Jim Wells,27.7283,-98.0910
Johnson,32.3803,-97.3656
Jones,32.7437,-99.8832
Karnes,28.9046,-97.8576
Kaufman,32.5965,-96.2801
Kendall,29.9436,-98.7151
Kenedy,26.9219,-97.6467
Kent,33.1667,-100.7805
Kerr,30.0618,-99.3505
Kimble,30.4880,-99.7345
King,33.6101,-100.2575
Kinney,29.3504,-100.4277
Kleberg,27.4307,-97.6822
Knox,33.6082,-99.7385
Lamar,33.6676,-95.5706
Lamb,34.0682,-102.3384
Lampasas,31.1983,-98.2367
La Salle,28.3468,-99.1034
Lavaca,29.3813,-96.9366
Lee,30.3218,-96.9665
Leon,31.2964,-95.9975
Liberty,30.1486,-94.7957
Limestone,31.5429,-96.5760
Lipscomb,36.2778,-100.2691
Live Oak,28.3468,-98.1274
Llano,30.7003,-98.6736
Loving,31.8538,-103.5878
Lubbock,33.5779,-101.8552
Lynn,33.1775,-101.8074
McCulloch,31.2029,-99.3607
McLennan,31.5429,-97.2090
McMullen,28.3468,-98.5678
Madison,30.9588,-95.9188
Marion,32.7838,-94.3522
Martin,32.3052,-101.9473
Mason,30.7003,-99.2304
Matagorda,28.7821,-96.0150
Maverick,28.7459,-100.3045
Medina,29.3504,-99.1034
Menard,30.8982,-99.8182
Midland,31.8688,-102.0317
Milam,30.7875,-96.9793
Mills,31.4889,-98.5957
Mitchell,32.3052,-100.9244
Montague,33.6746,-97.7192
Montgomery,30.3030,-95.5041
Moore,35.8390,-101.8974
Morris,33.0000,-94.7347
Motley,34.0797,-100.7805
Nacogdoches,31.6140,-94.6258
Navarro,32.0486,-96.4688
Newton,30.7999,-93.6981
Nolan,32.3052,-100.4123
Nueces,27.7283,-97.5328
Ochiltree,36.2778,-100.8166
Oldham,35.4025,-102.6013
Orange,30.1211,-93.8996
Palo Pinto,32.7527,-98.3167
Panola,32.1466,-94.2905
Parker,32.7742,-97.8009
Parmer,34.5296,-102.7845
Pecos,30.7933,-102.7239
Polk,30.7999,-94.8287
Potter,35.4025,-101.8974
Presidio,29.6596,-104.3157
Rains,32.8714,-95.7924
Randall,34.9659,-101.8974
Reagan,31.3660,-101.5226
Real,29.8295,-99.8250
Red River,33.6253,-95.0521
Reeves,31.3228,-103.6947
Refugio,28.3468,-97.1538
Roberts,35.8390,-100.8166
Robertson,31.0313,-96.5085
Rockwall,32.8959,-96.4197
Runnels,31.8293,-99.9778
Rusk,32.1466,-94.7519
Sabine,31.3466,-93.8454
San Augustine,31.3971,-94.1700
San Jacinto,30.5815,-95.1533
San Patricio,28.0059,-97.5177
San Saba,31.1545,-98.7151
Schleicher,30.8982,-100.5308
Scurry,32.7437,-100.9244
Shackelford,32.7263,-99.3652
Shelby,31.7939,-94.1495
Sherman,36.2778,-101.8974
Smith,32.3534,-95.3010
Somervell,32.2373,-97.7731
Starr,26.5566,-98.7478
Stephens,32.7263,-98.8380
Sterling,31.8293,-100.9823
Stonewall,33.1667,-100.2575
Sutton,30.4880,-100.5308
Swisher,34.5296,-101.7287
Tarrant,32.7715,-97.2908
Taylor,32.3052,-99.8923
Terrell,30.2289,-102.0731
Terry,33.1775,-102.3384
Throckmorton,33.1802,-99.2143
Titus,33.2133,-94.9676
Tom Green,31.4011,-100.4606
Travis,30.3350,-97.7975
Trinity,31.0804,-95.1347
Tyler,30.7630,-94.3774
Upshur,32.7303,-94.9339
Upton,31.3660,-102.0317
Uvalde,29.3504,-99.7345
Val Verde,29.8856,-101.1526
Van Zandt,32.5628,-95.8466
Victoria,28.8038,-96.9776
Walker,30.6958,-95.5748
Waller,29.9896,-95.9926
Ward,31.5281,-103.1000
Washington,30.2174,-96.4012
Webb,27.7630,-99.3312
Wharton,29.3056,-96.2087
Wheeler,35.4025,-100.2691
Wichita,33.9041,-98.7032
Wilbarger,34.0797,-99.2143
Willacy,26.4787,-97.7468
Williamson,30.6489,-97.6015
Wilson,29.1651,-98.0846
Winkler,31.8296,-103.0601
Wise,33.2148,-97.6598
Wood,32.7838,-95.3707
Yoakum,33.1775,-102.8273
Young,33.1802,-98.6877
Zapata,27.0132,-99.1541
Zavala,28.8673,-99.7521
